title,rate,cuisine,location,address,street,price_from,price_till,url
Jenderal Kopi Nusantara Buwas,4.44,['Kafe'],Riau,,"Jl. LLRE Martadinata No. 219, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/jenderal-kopi-nusantara-buwas-riau
Bonfire,4.52,['Barat'],Riau,,"Jl. LLRE Martadinata No. 137, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/bonfire-riau
Altero Bistronomie,4.60,['Barat'],Cipaganti,,"Jl. Cipaganti No. 38, Cipaganti, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/altero-bistronomie-cipaganti
Golden Bay Live Seafood Restaurant,4.41,['Indonesia'],Riau,,"Jl. LLRE Martadinata No. 187, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/golden-bay-live-seafood-restaurant-riau
Roemah Legit,4.29,['Indonesia'],Naripan,,"Jl. Embong No. 15, Naripan, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/roemah-legit-naripan
HittoBitto,4.29,['Jepang'],Trunojoyo,,"Jl. Trunojoyo No. 62, Trunojoyo, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/hittobitto-trunojoyo
Norge,4.30,['Es Krim'],Banda,,"Jl. Banda No. 4, Banda, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/norge-banda
Kineruku,4.47,['Kafe'],Setiabudhi,,"Jl. Hegarmanah No. 52, Setiabudhi, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kineruku-setiabudhi
Boja Eatery & Bar,4.26,['Kafe'],Sumatera,,"Jl. Sumatera No. 21, Sumatera, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/boja-eatery-dan-bar-sumatera
Hachi Grill,4.62,['Jepang'],Sarijadi,,"Jl. Prof. Dr. Sutami No. 56, Sarijadi, Bandung",Rp. 200.000,,https://pergikuliner.com/restaurants/bandung/hachi-grill-sarijadi
Kumari,4.27,['Kafe'],Dipatiukur,,"Jl. Bagusrangin No. 1, Dipatiukur, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kumari-dipatiukur
Wheels Coffee Roasters,4.26,['Kafe'],Riau,"Heritage Lifestyle Hub, Lantai 2","Jl. LLRE Martadinata No. 65, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/wheels-coffee-roasters-riau
Myboo.Kit Cafe and Playground,4.26,['Kafe'],Dago Atas,,"Jl. Bukit Pakar Timur No. 2, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/myboo-kit-cafe-and-playground-dago-atas
Justus Steakhouse,4.24,['Barat'],Riau,,"Jl. Cimanuk No. 8, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/justus-steakhouse-riau
Bellamie Boulangerie,4.20,['Kafe'],Riau,,"Jl. Cihapit No. 37, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/bellamie-boulangerie-riau
Edelweiss Tea & Coffee House,4.23,['Kafe'],Ciumbuleuit,,"Jl. Neglasari Dalam No. 7, Ciumbuleuit, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/edelweiss-tea-dan-coffee-house-ciumbuleuit
Khoe Pek Goan Bloemenstad,4.32,['Kafe'],Riau,,"Jl. Cendana No. 16, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/khoe-pek-goan-bloemenstad-riau
Giur Bistro,4.66,['Kafe'],Dago Bawah,,"Jl. Aria Jipang No. 1 - 3, Dago Bawah, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/giur-bistro-dago-bawah
Ambrogio Patisserie,4.18,['Kafe'],Banda,,"Jl. Banda No. 24, Banda, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/ambrogio-patisserie-banda
Circolo,4.60,['Italia'],Sukajadi,,"Jl. Sukajadi No. 198, Sukajadi, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/circolo-sukajadi
Miss Bee Providore,4.21,['Barat'],Ciumbuleuit,,"Jl. Ranca Bentang No. 11A, Ciumbuleuit, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/miss-bee-providore-ciumbuleuit
